date,humidity,temp,pressure
19961126-23:00,63,14,1014
19961127-00:00,67,13,1014
19961127-01:00,63,14,1015
19961127-02:00,63,15,1015
19961127-04:00,49,20,1017
19961127-05:00,33,23,1016
19961127-07:00,32,25,1015
19961127-08:00,28,25,1014
19961127-09:00,28,25,1014
19961127-10:00,34,24,1013
19961127-12:00,38,21,1013
19961127-13:00,56,18,1014
19961127-14:00,59,17,1014
19961127-15:00,63,16,1014
19961127-16:00,59,16,1014
19961127-17:00,63,15,1014
19961127-18:00,63,15,1014
19961127-19:00,67,14,1014
19961127-20:00,72,13,-9999
19961127-21:00,67,14,-9999
19961127-22:00,72,13,1014
19961127-23:00,77,12,1014
19961128-01:00,77,13,1015
19961128-02:00,63,15,1016
19961128-05:00,38,21,1016
19961128-06:00,33,23,1015
19961128-08:00,22,25,1013
19961128-09:00,21,24,1013
19961128-10:00,21,24,1013
19961128-11:00,23,23,1013
19961128-12:00,33,20,1013
19961128-13:00,45,17,1014
19961128-14:00,51,15,1014
19961128-15:00,42,17,1015
19961128-16:00,45,17,1015
19961128-17:00,58,13,1015
19961128-18:00,55,14,1015
19961128-19:00,55,14,1015
19961128-20:00,62,12,1015
19961128-21:00,58,12,1015
19961128-22:00,66,10,1015
19961129-09:00,16,23,1014
19961129-13:00,36,16,1015
19961129-14:00,39,15,1015
19961129-16:00,51,12,1016
19961129-17:00,51,12,1016
19961129-18:00,None,None,-9999
19961129-19:00,62,10,1015
19961129-20:00,62,10,1015
19961129-21:00,62,10,1015
19961129-23:00,71,9,1015
19961130-00:00,66,9,1016
19961130-01:00,62,9,1016
19961130-02:00,66,10,1017
19961130-03:00,54,12,1018
19961130-04:00,45,15,1018
19961130-05:00,37,19,1018
19961130-06:00,28,21,1017
19961130-07:00,27,21,1017
19961130-08:00,22,22,1016
19961130-09:00,22,22,1015
19961130-10:00,22,22,1015
19961130-13:00,42,16,1015
19961130-14:00,48,14,1016
19961130-15:00,51,14,1016
19961130-16:00,54,13,1016
19961130-17:00,54,12,1016
19961130-18:00,58,11,1016
19961130-19:00,58,11,1015
19961130-20:00,62,11,-9999
19961130-21:00,66,10,1016
19961130-22:00,71,9,1016
19961130-23:00,62,10,1016
19961201-00:00,71,9,1016
19961201-01:00,58,10,1017
19961201-02:00,58,11,1017
19961201-03:00,54,12,1018
19961201-04:00,45,15,1019
19961201-05:00,37,18,1018
19961201-06:00,33,20,1017
19961201-07:00,31,21,1016
19961201-10:00,27,22,1015
19961201-11:00,28,21,1015
19961201-12:00,40,18,1015
19961201-13:00,48,15,1016
19961201-14:00,55,14,1016
19961201-15:00,58,13,1016
19961201-16:00,58,13,1016
19961201-17:00,67,11,1016
19961201-18:00,58,13,1016
19961201-19:00,67,11,1016
19961201-20:00,67,11,1016
19961201-21:00,67,11,1016
19961201-22:00,76,9,1016
19961201-23:00,82,9,1015
19961202-01:00,76,9,1016
19961202-04:00,55,14,1017
19961202-05:00,48,17,1017
19961202-06:00,43,19,1016
19961202-07:00,35,21,1015
19961202-08:00,31,22,1014
19961202-09:00,23,23,1014
19961202-10:00,23,23,1014
19961202-11:00,28,21,1014
19961202-12:00,39,17,1014
19961202-13:00,45,16,1014
19961202-14:00,48,15,1015
19961202-15:00,58,13,1015
19961202-16:00,51,14,1015
19961202-17:00,58,13,1016
19961202-18:00,58,12,1015
19961202-19:00,58,12,1015
19961202-20:00,66,10,1015
19961202-21:00,58,11,1015
19961202-22:00,66,9,1015
19961202-23:00,66,10,1015
19961203-01:00,71,9,1016
19961203-03:00,51,15,1018
19961203-04:00,55,15,1019
19961203-05:00,49,19,1019
19961203-06:00,43,21,1018
19961203-08:00,41,22,1016
19961203-09:00,41,23,1016
19961203-10:00,38,22,1016
19961203-11:00,52,20,1016
19961203-12:00,59,18,1016
19961203-13:00,63,16,1016
19961203-14:00,59,16,1017
19961203-15:00,63,15,1017
19961203-16:00,67,14,1017
19961203-17:00,67,14,1017
19961203-18:00,72,13,1017
19961203-19:00,77,12,1016
19961203-20:00,77,12,1016
19961203-21:00,82,11,1016
19961204-00:00,82,11,1016
19961204-01:00,72,13,1016
19961204-02:00,67,14,1017
19961204-03:00,67,14,1018
19961204-04:00,67,15,1019
19961204-05:00,52,18,1018
19961204-06:00,43,21,1018
19961204-07:00,43,22,1017
19961204-08:00,31,23,1016
19961204-09:00,27,24,1015
19961204-10:00,27,24,1015
19961204-11:00,29,23,1014
19961204-13:00,52,16,1014
19961204-14:00,55,15,1014
19961204-15:00,55,15,1015
19961204-16:00,59,14,1015
19961204-17:00,59,14,1015
19961204-18:00,67,13,1015
19961204-19:00,72,12,1014
19961204-21:00,76,10,1014
19961204-22:00,76,10,1014
19961205-03:00,72,13,1016
19961205-04:00,59,15,1017
19961205-05:00,59,16,1018
19961205-06:00,46,19,1017
19961205-07:00,46,19,1016
19961205-08:00,38,21,1015
19961205-09:00,35,21,1014
19961205-10:00,38,21,1014
19961205-11:00,40,20,1014
19961205-12:00,43,19,1014
19961205-13:00,59,16,1014
19961205-15:00,67,14,1015
19961205-17:00,63,14,1016
19961205-18:00,63,14,1016
19961205-19:00,67,13,1016
19961205-20:00,59,14,1016
19961205-21:00,67,13,1016
19961205-22:00,71,10,1016
19961205-23:00,71,10,1016
19961206-00:00,76,10,1016
19961206-01:00,76,10,1017
19961206-02:00,71,11,1018
19961206-03:00,67,12,1019
19961206-04:00,51,15,1019
19961206-05:00,39,17,1019
19961206-06:00,35,20,1019
19961206-07:00,31,21,1018
19961206-09:00,27,22,1016
19961206-10:00,27,22,1016
19961206-11:00,31,21,1016
19961206-12:00,40,18,1017
19961206-13:00,48,16,1017
19961206-14:00,48,15,1018
19961206-15:00,58,13,1019
19961206-16:00,48,14,1019
19961206-17:00,54,12,1019
19961206-18:00,58,12,1019
19961206-19:00,54,12,1019
19961206-20:00,58,11,1018
19961206-21:00,62,9,1019
19961206-22:00,76,8,1019
19961206-23:00,76,8,1019
19961207-00:00,71,8,1019
19961207-01:00,76,7,1020
19961207-03:00,62,10,1021
19961207-04:00,48,14,1022
19961207-05:00,39,16,1022
19961207-06:00,30,18,1022
19961207-07:00,23,20,1021
19961207-08:00,21,20,1020
19961207-09:00,20,21,19
19961207-11:00,26,19,1019
19961207-12:00,39,15,1019
19961207-13:00,41,14,1020
19961207-14:00,47,12,1020
19961207-15:00,47,12,1020
19961207-16:00,54,10,1021
19961207-17:00,58,9,1021
19961207-18:00,58,9,1020
19961207-19:00,62,8,1020
19961207-20:00,57,8,1020
19961207-21:00,61,7,1019
19961207-22:00,53,7,1019
19961207-23:00,76,6,-9999
19961208-00:00,70,5,1020
19961208-01:00,70,5,1020
19961208-02:00,66,6,1021
19961208-03:00,53,8,1021
19961208-04:00,38,12,1022
19961208-05:00,29,15,1022
19961208-06:00,22,17,1020
19961208-07:00,17,19,1019
19961208-08:00,17,19,1018
19961208-09:00,28,19,1018
19961208-10:00,17,19,1018
19961208-11:00,20,17,1017
19961208-12:00,25,16,1017
19961208-13:00,35,12,1017
19961208-14:00,41,11,1017
19961208-15:00,47,10,1017
19961208-16:00,46,9,1017
19961208-18:00,57,7,1018
19961208-19:00,57,7,1017
19961208-20:00,53,7,1017
19961208-21:00,61,5,1017
19961208-22:00,61,5,1017
19961208-23:00,61,5,1017
19961209-00:00,57,5,1017
19961209-01:00,65,4,1018
19961209-02:00,57,6,1018
19961209-03:00,46,9,1019
19961209-04:00,25,13,1019
19961209-05:00,23,16,1019
19961209-06:00,19,18,1018
19961209-07:00,19,18,1017
19961209-08:00,19,19,1016
19961209-09:00,18,20,1016
19961209-10:00,19,19,1016
19961209-11:00,21,18,1016
19961209-12:00,29,15,1016
19961209-15:00,47,10,1017
19961209-16:00,58,9,1017
19961209-17:00,50,9,1018
19961209-18:00,53,7,1018
19961209-19:00,53,8,1017
19961209-20:00,57,7,1017
19961209-21:00,57,7,1016
19961209-22:00,57,6,1016
19961209-23:00,70,5,1016
19961210-00:00,65,4,1016
19961210-01:00,61,4,1017
19961210-02:00,57,5,1018
19961210-03:00,49,7,1019
19961210-04:00,38,12,1019
19961210-05:00,33,14,1019
19961210-06:00,26,17,1019
19961210-07:00,21,19,1018
19961210-08:00,40,20,1017
19961210-09:00,None,None,-9999
19961210-10:00,15,21,1016
19961210-11:00,18,18,1016
19961210-12:00,22,17,1016
19961210-13:00,31,13,1017
19961210-14:00,38,12,1017
19961210-15:00,47,10,1017
19961210-16:00,50,9,1017
19961210-17:00,None,None,1017
19961210-18:00,53,8,1018
19961210-19:00,53,8,1017
19961210-20:00,53,8,1017
19961210-21:00,61,6,1017
19961210-22:00,57,6,1017
19961210-23:00,61,5,1017
19961211-00:00,57,5,1018
19961211-01:00,57,5,1019
19961211-02:00,53,6,1019
19961211-07:00,None,None,-9999
19961211-08:00,23,20,1017
19961211-09:00,21,21,1016
19961211-10:00,20,21,1016
19961211-12:00,34,16,1016
19961211-13:00,44,13,1016
19961211-14:00,47,12,1017
19961211-15:00,50,11,1017
19961211-17:00,54,10,1017
19961211-18:00,58,9,1017
19961211-19:00,62,8,1017
19961211-20:00,71,7,1017
19961211-21:00,34,17,1017
19961211-22:00,66,7,1017
19961211-23:00,70,6,1017
19961212-00:00,70,6,1018
19961212-01:00,66,6,1018
19961212-02:00,70,6,1019
19961212-03:00,54,9,1020
19961212-04:00,41,13,1020
19961212-06:00,28,18,1019
19961212-07:00,23,20,1018
19961212-10:00,21,21,1016
19961212-13:00,39,15,1017
19961212-14:00,41,14,1017
19961212-15:00,38,13,1013
19961212-16:00,50,11,1018
19961212-17:00,54,10,1018
19961212-19:00,None,None,-9999
19961212-20:00,62,8,1017
19961212-22:00,66,7,1017
19961212-23:00,66,7,1017
19961213-00:00,66,6,1017
19961213-01:00,87,6,1018
19961213-02:00,66,8,1019
19961213-03:00,54,10,1020
19961213-04:00,51,12,1020
19961213-05:00,42,16,1020
19961213-06:00,39,17,1019
19961213-07:00,35,19,1018
19961213-08:00,30,20,1017
19961213-09:00,27,21,1017
19961213-10:00,27,21,1016
19961213-11:00,32,19,1016
19961213-12:00,39,16,1016
19961213-13:00,48,14,1016
19961213-15:00,58,12,1017
19961213-17:00,54,12,1017
19961213-18:00,62,10,1017
19961213-19:00,71,9,1017
19961213-21:00,76,7,1017
19961213-22:00,76,7,-9999
19961213-23:00,81,7,1016
19961214-00:00,81,7,1017
19961214-01:00,81,7,1017
19961214-02:00,71,8,1017
19961214-03:00,62,9,1018
19961214-04:00,51,12,1018
19961214-05:00,45,15,1018
19961214-06:00,37,18,-9999
19961214-07:00,32,19,1016
19961214-08:00,30,20,1015
19961214-09:00,28,21,1014
19961214-10:00,28,21,1014
19961214-11:00,35,19,1014
19961214-12:00,45,16,1014
19961214-13:00,51,14,1014
19961214-14:00,54,13,1014
19961214-16:00,66,10,1015
19961214-17:00,62,10,1015
19961214-19:00,66,8,1014
19961214-20:00,71,8,1014
19961214-21:00,71,7,1014
19961214-22:00,66,7,1014
19961214-23:00,57,7,1014
19961215-00:00,66,6,1014
19961215-01:00,76,5,1014
19961215-02:00,70,6,1015
19961215-03:00,58,9,1016
19961215-04:00,47,13,-9999
19961215-05:00,39,16,1016
19961215-08:00,25,21,1013
19961215-10:00,27,21,1012
19961215-11:00,35,19,1012
19961215-12:00,42,16,1012
19961215-13:00,45,15,1013
19961215-14:00,48,14,1014
19961215-15:00,54,12,1014
19961215-16:00,54,12,1014
19961215-17:00,51,12,1014
19961215-18:00,51,12,1014
19961215-20:00,58,10,-9999
19961215-21:00,62,9,1014
19961215-22:00,66,8,1014
19961216-00:00,66,8,1015
19961216-01:00,61,7,1015
